name,portion,calories
Chocolate wafer cookie,1 small or thin,25.98
Cooked turnip,.5 cup pieces,17.05
Chocolate-covered almonds,1 almond,17.01
Chocolate-covered almonds,.25 cup,240.975
Chocolate-covered candy,1 butter cream,73.2
Chocolate-covered candy,1 cherry,51.24
Chocolate-covered candy,1 Cadbury egg (1 oz),106.14
Chocolate-covered candy,1 large York pattie,153.72
Chocolate-covered candy,1 piece (0.6 oz),62.22
Chocolate-covered candy,1 small York pattie,51.972
Chocolate-covered granola bar,1 Kudos bar,171.36
Chocolate-covered granola bar,1 Quaker Oats bar,133.28
Chocolate-covered granola bar,1 Sweet Success bar,157.08
Chopped chicken liver,.25 cup,117.52
Chow fun rice noodles,"1 cup, cooked",171.2
Chunky beef vegetable soup,1 cup,170.4
Cilantro,.25 cup,0.92
Cilantro,1 sprig,0.253
Cinnamon bread or toast,1 slice,69.16
Cinnamon Toast Crunch cereal,1 cup,160.36
Cinnamon Toast Crunch cereal,1 single serving box,139.26
"Club sandwich (chicken, bacon, tomato)",1 sandwich,546.12
"Club sandwich (chicken, bacon, tomato)","1 6"" sub",548.34
Cocktail sauce,4 Tablespoons,54.6
Cocoa Puffs cereal,1 cup,117
"Coconut candy, chocolate-covered",1 bar (1.75 oz),243
"Coconut candy, chocolate-covered",1 fun size bar,97.2
"Coconut candy, chocolate-covered",1 small egg (1 oz),136.08
Coconut milk,.25 cup,138
Coffee,1 fast food (16 fl oz order),14.2
Coffee,1 coffee cup (cup = 6 fl oz),7.08
Coffee,1 mug ( mug = 8 fl oz),9.48
Coffee cake,"1 piece (1/12 of a 9"" sq)",159.8
Coffee cake,"1 piece (1/8 of 8"" cake)",139.4
Coffee Mate (liquid),2 Tablespoons (1 fl oz),40.8
Coffee Mate (powder),1 packet,16.38
Coffee Mate Lite  (powder),1 packet,12.93
Coffee Mate Lite (liquid),2 Tablespoons (1 fl oz),20.7
Coleslaw,.5 cup,134.32
Coleslaw,1 fast-food order,131.4
Cooked asparagus,5 medium spears,16.5
Cooked asparagus,.5 cup,19.8
Cooked asparagus,5 small or thin spears,12.1
Cooked asparagus,5 large or thick spears,20.9
Cooked barley,.5 cup,98.82
Cooked bean sprouts,.5 cup,29.14
Cooked beets,.5 cup slices,37.4
Cooked beets,.5 cup diced,34.54
Cooked beets,.5 cup whole,35.86
Cooked broccoli,.5 cup flowerets,16.975
Cooked broccoli,.5 cup chopped,32.2
Cooked broccoli,1 floweret,3.5
Cooked Brussels sprouts,.5 cup,32.55
Cooked Brussels sprouts,1 sprout,8.82
Cooked cabbage,.5 cup,16.5
Cooked carrots,.5 cup slices,27.3
Cooked carrots,.5 cup baby carrots,26.075
Cooked cauliflower,.5 cup flowerets,16.56
Cooked cauliflower,.5 cup pieces,14.375
Cooked cauliflower,1 floweret,5.06
Cooked eggplant,".5 cup, diced",35
Cooked eggplant,1 slice,18.9
Cooked green beans,.5 cup,13.5
Cooked green lima beans,.5 cup,103.7
Cooked green peas,.5 cup,66.4
Cooked hot peppers,1 pepper,18.06
Cooked hot peppers,1 Tablespoon,3.57
Cooked mixed vegetables,.5 cup,59.15
Cooked mushrooms,.5 cup,21.84
Cooked mushrooms,1 large cap,4.48
Cooked mushrooms,10 slices,11.2
Cooked onions,.5 cup,46.2
Cooked onions,1 slice,5.28
Cooked snowpeas,.5 cup,33.6
Cooked spinach,.5 cup,30.4
Cooked sweet peppers,.5 cup,19.04
Cooked tomatoes,.5 cup,21.6
Cooked turnip,.5 cup mashed,25.3
Cool Whip,.25 cup,59.625
Cordial or liqueur,1 cordial glass,70.8
Cordial or liqueur,1 fluid ounce,106.2
Corn chips (Fritos),1 cup,237.16
Corn chips (Fritos),1 single srvg bag (bag = 1 oz),150.92
Corn chips (Fritos),1 grab-size bag (bag = 2.3 oz),344.96
"Corn dog (hot dog, cornbread coating)",1 corn dog,279.84
Corn flakes cereal,1 cup,90.25
Corn flakes cereal,1 single serving box,75.81
Corn fritter,1 fritter,131.95
Corn fritter,.5 cup,201.695
Corn Pops cereal,1 cup,117.8
Corn Pops cereal,1 single serving box,106.4
Corn pudding (scalloped corn),.5 cup,128.4
Corn puffs (Cheetos),1 cup,193.9
Corn puffs (Cheetos),1 single srvg bag (bag = 1 oz),155.12
Corn puffs (Cheetos),1 grab-size bag (bag = 2.1 oz),332.4
Corn relish,.25 cup,50.8375
Corn tortilla,"1 medium (6"" across)",53.28
Corn tortilla,"1 large (8"" across)",95.46
Corn tortilla,"1 small (4"" across)",23.754
Cornbread or corn muffin,1 medium muffin or square,173.85
Cornbread or corn muffin,1 large muffin or square,216.55
Cornbread or corn muffin,1 small muffin or square,137.25
Cornbread or corn muffin,1 stick,118.95
Cornbread stuffing,".5 cup, moist type",179
Cornbread stuffing,".5 cup, dry type",126.195
Corned beef hash,.5 cup,180.4
"Cottage cheese, creamed",.5 cup,108.15
"Couscous, no fat added",".5 cup, cooked",87
Crab cake,1 cake,105.84
Cracked wheat English muffin,1 muffin,129.34
Cranberry juice (100% juice),1 cup,116.38
Cranberry juice cocktail,1 cup,144.21
Cranberry sauce,.25 cup,104.5675
Cranberry sauce,1 slice sauce,86.07
Cream cheese (regular),1 Tablespoon,50.605
Cream cheese (regular),"1 Tablespoon, whipped",34.9
Cream cheese (regular),1 individual container,98.9415
Cream cheese dip,2 Tablespoons,106.2
Cream of broccoli soup,1 cup,206.19
Cream of chicken soup (with water),1 cup,117.12
Cream of mushroom soup (made with milk),1 cup,190.96
Cream of potato soup,1 cup,136.4
Cream of potato soup,"1 can, ready to eat (13 oz)",101.475
Cream of tomato soup,1 cup,146.32
Cream of wheat,".5 cup, cooked",55.22
Cream puff or eclair,1 eclair,267.24
Cream puff or eclair,1 cream puff,293.44
Cream style corn,.5 cup,92.16
Creamed spinach,.5 cup,78
Creamy dressing (ranch),1 Tablespoon,71.442
Creamy dressing (ranch),.25 cup,285.525
Creamy dressing (ranch),1 packet,213.84
Croissant,1 medium croissant (2 oz),231.42
Croissant,1 mini croissant (1 oz),113.68
Croissant,1 small croissant (1.5 oz),170.52
Croissant,1 large croissant (2.4 oz),272.02
Croutons,.25 cup,46.5
Croutons,1 fast food package,46.5
Crystal Lite (low-calorie fruit drink),1 cup,45.6
Cucumber,.5 cup sliced,7.14
Cucumber,1 slice,0.84
Cucumber,"1 stick or strip (4"" long)",1.08
Dark chocolate candy bar,1 bar (1.45 oz),207.05
Dark chocolate candy bar,.25 large bar (4 oz),142.6625
Dark chocolate candy bar,1 bar (2.2 oz),313.1
Deli chicken or turkey loaf,1 slice,42.525
Deli ham (extra lean),1 slice,36.68
Deli ham (regular),1 slice,45.36
Deli ham (regular),.5 cup,119.07
Deli ham (regular),1 shaved slice,27.54
Deli sliced roast beef,1 slice,50.1795
Deli sliced roast beef,.5 cup,123.9
Deli sliced turkey or chicken breast,1 slice,29.484
Deli sliced turkey or chicken breast,".5 cup, shaved slices",42.12
Dessert wine (all),1 small wine glass,164.8
Dessert wine (all),4 fluid ounces,188.8
Deviled egg,.5 egg,62.31
Diet high-fiber bread,1 regular slice,60.03
Diet high-fiber bread,1 thin slice,47.61
Diet high-fiber multigrain bread,1 regular slice,60.58
Diet high-fiber multigrain bread,1 thin slice,53.59
Diet pudding (instant or canned),.5 cup (4 fl oz),105.3
Dietetic chocolate-covered candy,1 section candy bar,40.25
Dietetic chocolate-covered candy,.25 cup TV Mix,267.375
Dietetic chocolate-covered candy,.25 cup covered raisins,273.125
Dietetic chocolate-covered candy,1 piece Peanut Butter Cups,46
Dietetic chocolate-covered candy,1 section chocolate wafers,28.75
Dietetic chocolate-covered candy,1 section Crunch Bar,34.5
Dietetic hard candy,1 Sweet'n Low candy,14.25
Dietetic hard candy,.25 cup hard candy,185.625
Dietetic hard candy,1 lollipop (.5 oz),52.5
Dietetic hard candy,1 cough drop,3.75
Dietetic jelly (low cal sweetener),1 Tablespoon,24.816
Dietetic syrup,1 Tablespoon,6
Dietetic syrup,.25 cup,24
Dietetic topping,1 Tablespoon,8.236
Dietetic topping,.25 cup,32.915
Dill pickle,1 spear,5.4
Dill pickle,1 large,24.3
Dill pickle,1 medium,11.7
Dill pickle,1 baby dill,5.04
Dill pickle,5 slices,5.4
Double cheeseburger on double deck bun,1 double cheeseburger,620.48
Double cheeseburger on double deck bun,1 Big Mac,595.55
Double hamburger on bun,1 double hamburger,383.76
"Dried fruit (apricot, apple, etc.)",.25 cup,85.68
Dried tomatoes,1 piece,5.16
Dried tomatoes,.25 cup,34.83
"Dry beans, cooked with fat",.5 cup,164.7
"Dry beans, cooked without fat",.5 cup,110.25
"Dry blackeye peas, cooked without fat",.5 cup,97.175
"Dry milk powder, low fat",.25 cup,109.8
Duck sauce,1 packet,22.325
Duck sauce,.25 cup,170.375
Duck sauce,1 Tablespoon,42.3
Egg & sausage on biscuit,1 biscuit,565.25
Egg Beaters,.5 cup,60
Egg Beaters,".25 cup, raw (equals 1 egg)",30
Egg drop soup,1 cup,73.2
Egg noodles (no fat added),"1 cup, cooked",211.2
Egg noodles with butter or oil,"1 cup, cooked",252.45
Egg noodles with butter or oil,1 instant noodle container,302.94
Egg roll with meat,1 egg roll,112.64
Egg roll with meat,1 miniature egg roll,22.88
Egg roll with vegetables,1 egg roll,100.48
Egg roll with vegetables,1 miniature egg roll,20.41
Egg salad,.5 cup,352.98
Egg salad,1 large egg,235.32
Egg white,1 egg white,17.16
Egg white,.25 cup,21.19
"Egg, cheese & bacon on biscuit",1 biscuit,437.58
"Egg, cheese & ham on English muffin",1 McMuffin,311.85
"Egg, cheese & sausage on English muffin",1 regular sandwich,457.92
"Egg, cheese & sausage on English muffin",1 small sandwich,241.92
Eggplant Parmesan,1 cup,316.8
Eggplant Parmesan,1 slice eggplant,70.4
Enchilada sauce,.25 cup,79.375
English muffin,1 muffin,136.3
English muffin with raisins,1 muffin,140.94
Fast Break candy bar (Reese's),1 regular size bar,282.15
Fat free milk (skim),1 cup,83.3
Fat free milk (skim),8 fluid ounces,83.232
Fat-free American cheese,1 slice (slice = 3/4 oz),31.08
Fat-free American cheese,.25 cup shredded,41.81
Fat-free American cheese,1 cubic inch,23.976
Fat-free berry or banana muffin,"1 medium (2 3/4"" across)",294.93
Fat-free berry or banana muffin,"1 large (3 1/4"" across)",401.94
Fat-free berry or banana muffin,"1 miniature (1 1/4"" across)",49.59
Fat-free berry or banana muffin,"1 small (2 1/2"" across)",172.26
Fat-free cheese Danish pastry,1 slice,94.72
Fat-free coffee cake,1 one-inch slice,94.05
Fat-free coffee cake,".25 coffeecake (5 by 11"")",302.8125
Fat-free Italian dressing,1 Tablespoon,6.58
Fat-free Italian dressing,1 packet,20.68
Fat-free mayonnaise-type dressing,1 Tablespoon,13.44
Fat-free mayonnaise-type dressing,.25 cup,53.76
Fat-free ranch dressing,1 Tablespoon,17.655
Fat-free ranch dressing,1 packet,47.08
Fat-free spread (margarine type),1 teaspoon,2.11992
Fat-free thousand island dressing,1 Tablespoon,21.12
Fat-free thousand island dressing,1 packet,58.08
Feta or goat cheese,.25 cup crumbled,99
Feta or goat cheese,1 wedge (wedge=1.3 oz),100.32
Fiber One cereal,1 cup,118.2
Fig (dried),1 fig,47.31
Fig (dried),.25 cup,123.8775
Fig bar (Fig Newton),"1 bar (bar = 1 1/2"")",55.68
Fig bar (Fig Newton),"1 small pkg (two 3"" bars)",198.36
Filberts (hazelnuts),1 ounce (20 nuts),175.84
Filberts (hazelnuts),.25 cup,211.95
Fitness Water (Propel),1 cup (8 fl oz),11.85
Fitness Water (Propel),1 bottle (16.9 fl oz),25
Fitness Water (Propel),1 sports bottle (23.7 fl oz),35.1
Flavored soymilk,1 cup,117.6
"Flavored yogurt, fat-free sugar-free",1 8 oz container,97.61
"Flavored yogurt, fat-free sugar-free",1 ounce,12.20125
"Flavored yogurt, low fat",1 8 oz container,192.95
"Flavored yogurt, low fat",1 ounce,24.11875
"Flavored yogurt, whole milk",1 8 oz container,229.27
"Flavored yogurt, whole milk",1 ounce,28.65875
Flax seed,1 Tablespoon,45
Flax seed,.25 cup,178.35
Flour (wheat) tortilla,"1 medium (8"" across)",165.75
Flour (wheat) tortilla,"1 large (10"" across)",227.5
Flour (wheat) tortilla,"1 small (6"" across)",97.5
foccacia,1 slice,182.4
Fortified high energy bar (Powerbar),1 bar,228.8
Fortune cookie,1 cookie,30.24
French bread,1 large slice,175.36
French bread,".5 mini baguette (9"" long)",208.24
French bread,1 medium slice,87.68
French dressing,1 Tablespoon,71.292
French dressing,1 packet,201.08
"French fries, deep-fried",1 medium fast food order,456.94
"French fries, deep-fried",1 cup,194.37
"French fries, deep-fried",1 cup curly fries,276.21
"French fries, deep-fried",1 large fast food order,539
"French fries, deep-fried",1 small fast food order,289.85
"French fries, deep-fried",10 steak cut/dinner fries,300.08
"French fries, deep-fried","10 strips (2"" to 3-1/2"")",170.5
"French fries, oven-baked",1 cup,113.43
"French fries, oven-baked",1 cup curly fries,161.19
"French fries, oven-baked",10 steak cut/dinner fries,175.12
"French fries, oven-baked","10 strips (2"" to 3-1/2"")",99.5
French onion soup,1 cup,57.84
French toast,1 regular slice (2 oz),157.95
French toast,1 thick slice (3 oz),177.39
French toast sticks,1 fast food order (4 oz),385.84
French toast sticks,1 stick,76.44
Fried beef liver,1 slice,147.9
Fried breaded fish fillet,1 patty or fillet,125.97
Fried breaded fish fillet,1 stick,37.57
Fried breaded fish fillet,2 ounces after cooking,125.307
Fried calamari (fried squid),.25 cup,73.875
Fried catfish (breaded or battered),1 fillet,182.25
Fried catfish (breaded or battered),.5 medium catfish,473.85
Fried catfish (breaded or battered),4 ounces after cooking,275.562
Fried cheese sticks,"3 pieces or 4"" sticks",502.92
Fried chicken breast (no skin),1 medium breast,158.24
Fried chicken breast (no skin),1 large breast,180.32
Fried chicken breast (no skin),1 small breast,138
Fried chicken breast (no skin),"4 ounces, cooked, skinned",191.36
Fried chicken drumstick (battered),1 medium drumstick,194.4
Fried chicken drumstick (battered),1 large drumstick,253.8
Fried chicken drumstick (battered),1 small drumstick,148.5
Fried chicken fillet sandwich,1 sandwich,322.56
Fried chicken frozen meal,1 large meal (16 oz),1024.92
Fried chicken liver,1 cup,372.4
Fried chicken liver,1 liver,58.52
Fried chicken thigh (battered),1 medium thigh,239.08
Fried chicken thigh (battered),1 large thigh,325.26
Fried chicken thigh (battered),1 small thigh,211.28
Fried chicken thigh (eat skin),1 medium thigh,158.1
Fried chicken thigh (eat skin),1 large thigh,214.2
Fried chicken thigh (eat skin),1 small thigh,140.25
Fried chicken thigh (no skin),1 medium thigh,111.28
Fried chicken thigh (no skin),1 large thigh,149.8
Fried chicken thigh (no skin),1 small thigh,98.44
Fried chicken wing (battered),1 medium wing,159.74
Fried chicken wing (battered),"1 mini ""drumette""",61.94
Fried chicken wing (battered),1 large wing,208.64
Fried chicken wing (battered),1 small wing,136.92
Fried chicken wing (no coating),1 medium wing,101.76
Fried chicken wing (no coating),"1 mini ""drumette""",47.7
Fried chicken wing (no coating),1 large wing,136.74
Fried chicken wing (no coating),1 small wing,89.04
Fried clams (battered),.5 cup (1 cup=8 medium clams),111.18
Fried cod (breaded or battered),1 fillet,190.3
Fried cod (breaded or battered),4 ounces after cooking,196.182
Fried egg,1 large egg,89.24
Fried fish (breaded or battered),1 fillet,266.66
Fried fish (breaded or battered),4 ounces after cooking,225.666
Fried fish sandwich with tartar sauce,1 regular sandwich,373.65
Fried fish sandwich with tartar sauce,1 large sandwich,675.75
Fried green tomatoes,3 slices,211.68
Fried green tomatoes,.5 cup,176.4
Fried green tomatoes,1 medium tomato,197.96
Fried okra,.5 cup,86.94
Fried okra,1 pod,14.175
Fried oysters (breaded or battered),1 large oyster,55.38
Fried oysters (breaded or battered),1 small oyster,17.04
Fried oysters (breaded or battered),4 ounces after cooking,241.542
Fried plantain,.5 medium plantain,249.48
Fried pork chop (eat lean & fat),1 medium,225.99
Fried pork chop (eat lean & fat),1 large,326.43
Fried pork chop (eat lean & fat),1 small or thin cut,122.76
Fried pork chop (eat lean & fat),4 ounces after cooking,316.386
Fried pork chop (eat lean only),1 medium,153
Fried pork chop (eat lean only),1 large,220.5
Fried pork chop (eat lean only),1 small or thin cut,83.25
Fried pork chop (eat lean only),4 ounces after cooking,234
Fried pork rinds,"1 cup, pieces",174.4
Fried pork rinds,1 bag (2 oz),310.65
Fried rice (plain),.5 cup,125.33
Fried scallops (floured or breaded),".5 cup, cooked",145.39
Fried scallops (floured or breaded),1 scallop (0.6 oz),34.72
Fried scallops (floured or breaded),4 ounces after cooking,246.078
Fried shrimp (breaded or battered),4 ounces after cooking,274.4
Fried shrimp (breaded or battered),".5 cup, cooked",158.025
Fried shrimp (breaded or battered),1 extra large shrimp,61.2255
Fried shrimp (breaded or battered),10 medium shrimp,269.5
Fried shrimp (breaded or battered),10 small shrimp,147
Fried steak (eat lean & fat),1 medium steak,587.52
Fried steak (eat lean & fat),1 large steak,783.36
Fried steak (eat lean & fat),1 small steak,440.64
Fried steak (eat lean & fat),"4 ounces cooked, no bone",264.96
Fried steak (eat lean only),1 medium steak,358.8
Fried steak (eat lean only),1 large steak,480.7
Fried steak (eat lean only),1 small steak,269.1
Fried steak (eat lean only),"4 ounces cooked, no bone",211.6
Fried tofu,.25 cup,168.02
Fried tofu,1 piece,35.23
Fried whiting (floured or breaded),1 fillet,190.53
Fried whiting (floured or breaded),4 ounces after cooking,248.346
Fried wonton,1 wonton,53.96
Fried wonton,1 pot sticker,85.2
Froot Loops cereal,1 cup,110.04
Froot Loops cereal,1 single serving box,106.11
Frosted Flakes cereal,1 cup,150.47
Frosted Flakes cereal,1 single serving box,117.44
Frosted Mini-Wheats cereal,1 cup,204
Frosted Mini-Wheats cereal,1 single serving box,119
Frosted sweet roll or cinnamon bun,1 medium roll,226.8
Frosted sweet roll or cinnamon bun,1 large roll,313.74
Frosted sweet roll or cinnamon bun,1 small roll,147.42
Frosted sweet roll or cinnamon bun,1 Little Debbie,189
Frozen fruit juice bar,1 bar,60.68
"Frozen yogurt, low fat",1 cup,214
"Frozen yogurt, low fat sugar free",1 cup,199.02
"Frozen yogurt, whole milk",1 cup,220.98
Fruit blintz,1 blintz,123.2
"Fruit bread (banana, etc.)",1 slice (1.4 oz),132.43
Fruit cocktail (canned in heavy syrup),1 snack size package (4 oz),82.49
Fruit cocktail (canned in heavy syrup),.5 cup,90.52
Fruit cocktail (canned in light syrup),1 snack size package (4 oz),64.41
Fruit cocktail (canned in light syrup),.5 cup,68.97
"Fruit drink (punch, ade, or cooler)",1 cup,119.04
"Fruit drink (punch, ade, or cooler)",1 Capri Sun container,100.32
"Fruit drink (punch, ade, or cooler)",1 drink box (box - 8 fl oz),125.76
"Fruit drink (punch, ade, or cooler)",1 fun size (box = 4 fl oz),62.88
"Fruit drink (punch, ade, or cooler)",1 Fruitopia bottle,238.08
Fruit ice (Italian fruit ice),.5 cup,123.52
Fruit roll-up (fruit snack chews),1 pouch (1 oz),103.88
Fruit roll-up (fruit snack chews),1 3-foot roll,77.91
Fruit salad (no dressing),.5 cup,48.125
Fruit shortcake with whipped cream,"1 piece (3"" across)",211.22
fruit smoothie (no milk),1 commercial smoothie (20 fl oz),326.12
fruit smoothie (no milk),1 cup,130.2
fruit smoothie made with milk,1 commercial smoothie (20 fl oz),495.88
fruit smoothie made with milk,1 cup,197.96
Fruit soup,1 cup,176.66
Fruit topping,1 Tablespoon,53.848
Fruit topping,.25 cup,215.9
"Fruit yogurt, fat-free sugar-free",1 6 oz container,86.7
"Fruit yogurt, fat-free sugar-free",1 ounce,14.45
"Fruit yogurt, low fat",1 6 oz container,173.4
"Fruit yogurt, low fat",1 ounce,28.9
"Fruit yogurt, whole milk",1 6 oz container,202.3
"Fruit yogurt, whole milk",1 ounce,33.71667
Fruit-filled Danish pastry,"1 medium (4-1/4"" across)",263.41
Fruit-filled Danish pastry,"1 large (7"" across)",526.82
Fruit-filled Danish pastry,"1 small (3"" across)",129.85
Fruit-filled Danish pastry,1 Toaster Strudel,196.63
Fruity Pebbles cereal,1 cup,144.36
Fudge sauce (thick type),1 Tablespoon,72.66
Fudge sauce (thick type),.25 cup,294.1
Garlic,1 clove,4.47
Garlic bread,1 medium slice,95.7
Garlic bread,1 large slice,135.3
Garlic bread,1 small slice,52.8
Gatorade or Powerade (sports drink),1 cup,60
Gefilte fish,1 piece,76.84
Gefilte fish,.5 cup,128.255
Gefilte fish,5 balls,46.33
General Tso chicken,.5 cup,148.19
Gin,1 jigger (jigger = 1.5 oz),110.46
Gin,2 fluid ounces,147.28
Gin & tonic,1 cocktail,159.6
Gin & tonic,8 fluid ounces (no ice),182.4
Glazed carrots,.5 cup,100.625
Glazed carrots,.5 cup baby carrots,106.875
Golden Grahams cereal,1 cup,148.8
Graham cracker,1 large rectangle (2 squares),59.22
Granola bar,1 bar,129.92
Granola cereal (homemade),.5 cup,298.9
Grape juice (100% juice),1 cup,154.33
Grape-Nuts cereal,.25 cup,97.8275
"Grapefruit (canned, light syrup)",.5 cup,76.2
Grapefruit (raw),".5 medium (4"" across)",40.96
Grapefruit (raw),.5 cup,36.8
Grapefruit (raw),".5 large (4-1/2"" across)",53.12
Grapefruit (raw),".5 small (3-1/2"" across)",32
Grapefruit juice (unsweetened),1 cup,93.86
Grapes (raw),.5 cup,55.2
Grapes (raw),10 grapes,34.5
Green olives,5 small,21.025
Green olives,.25 cup,53.2875
Green olives,5 large,28.275
Green tomato-chile sauce,.25 cup,45.51
Green tomato-chile sauce,1 Tablespoon,11.1
Greens with ham or pork,.5 cup,38.88
"Greens, cooked with fat",.5 cup,33.975
"Greens, cooked without fat",.5 cup,18.25
Grilled cheese sandwich,1 sandwich,290
Grilled pork chop (eat lean & fat),1 medium,216
Grilled pork chop (eat lean & fat),1 large,314.4
Grilled pork chop (eat lean & fat),1 small or thin cut,117.6
Grilled pork chop (eat lean & fat),4 ounces after cooking,272.16
Grilled pork chop (eat lean only),1 medium,174.72
Grilled pork chop (eat lean only),1 large,268.32
Grilled pork chop (eat lean only),1 small or thin cut,95.68
Grilled pork chop (eat lean only),4 ounces after cooking,235.872
Grilled steak (eat lean & fat),1 medium steak,516.12
Grilled steak (eat lean & fat),1 large steak,688.16
Grilled steak (eat lean & fat),1 small steak,387.09
Grilled steak (eat lean & fat),"4 ounces cooked, no bone",232.76
Grilled steak (eat lean only),1 medium steak,307.32
Grilled steak (eat lean only),1 large steak,411.73
Grilled steak (eat lean only),1 small steak,230.49
Grilled steak (eat lean only),"4 ounces cooked, no bone",181.24
"Grits, no fat added",".5 cup, cooked",55.66
"Grits, with butter",".5 cup, cooked",88.92
"Ground beef (75% lean, regular)",1 medium patty (4 per pound),234.6
"Ground beef (75% lean, regular)",1 ounce after cooking,77.28
"Ground beef (75% lean, regular)",1 ounce raw (cooked yield),57.96
"Ground beef (75% lean, regular)",1 large patty (3 per pound),311.88
"Ground beef (75% lean, regular)",1 medium meatball,77.28
"Ground beef (75% lean, regular)",1 small patty (5 per pound),187.68
Ground beef (80% lean),1 medium patty (4 per pound),236.72
Ground beef (80% lean),1 ounce after cooking,75.32
Ground beef (80% lean),1 ounce raw (cooked yield),59.18
Ground beef (80% lean),1 large patty (3 per pound),317.42
Ground beef (80% lean),1 medium meatball,75.32
Ground beef (80% lean),1 small patty (5 per pound),190.99
Ground beef (85% lean),1 medium patty (4 per pound),238.08
Ground beef (85% lean),1 ounce after cooking,69.44
Ground beef (85% lean),1 ounce raw (cooked yield),59.52
Ground beef (85% lean),1 large patty (3 per pound),317.44
Ground beef (85% lean),1 medium meatball,69.44
Ground beef (85% lean),1 small patty (5 per pound),190.96
Ground beef (90% lean),1 medium patty (4 per pound),201.96
Miso soup,1 cup,84
Ground beef (90% lean),1 ounce after cooking,57.12
Ground beef (90% lean),1 ounce raw (cooked yield),51
Ground beef (90% lean),1 large patty (3 per pound),267.24
