name,portion,calories
Raw carrots,1 baby carrot,4.1
Raw cauliflower,.5 cup,12.5
Raw cauliflower,1 floweret,3.25
Raw celery,.5 cup diced,8.4
Raw celery,.5 cup sticks,8.68
Raw celery,"5 sticks or strips (4"" long)",2.8
Raw hot pepper (jalapeno),1 pepper,18.9
Raw hot pepper (jalapeno),.25 cup,15.75
Raw mushrooms,.5 cup pieces or slices,7.7
Raw mushrooms,1 medium,3.96
Raw onion,"1 slice (1/8"" thick)",5.88
Raw onion,.25 cup,16.8
Raw spinach,1 cup,6.9
Raw sweet pepper (bell pepper),1 slice or ring,2
Raw sweet pepper (bell pepper),.25 cup chopped,7.45
Raw sweet pepper (bell pepper),.5 cup sliced,9.2
Raw sweet pepper (bell pepper),1 medium,23.8
Raw tomatoes,1 wedge (1/4 of medium tomato),5.58
Raw tomatoes,"1 medium whole (2-3/5"" across)",22.14
Raw tomatoes,".5 cup, chopped or sliced",16.2
Raw tomatoes,"1 large whole (3"" across)",32.76
Raw tomatoes,"1 small whole (2-2/5"" across)",16.38
Raw tomatoes,1 cherry tomato,3.06
Raw tomatoes,"1 medium slice (1/4"" thick)",3.6
Reduced fat cheese cracker,.25 cup,49.68
Reduced fat potato chips (all flavors),1 cup,94.2
Reduced fat potato chips (all flavors),10 chips,80.07
Reduced-calorie spread (margarine type),1 pat (1 teaspoon),17.25
Reduced-calorie spread (margarine type),1 Tablespoon,50.025
Reduced-fat chocolate chip cookie,1 Nabisco Chips Ahoy!,46.866
Reduced-fat chocolate chip cookie,".25 cup, Snackwell's",73.365
Reduced-fat chocolate chip cookie,1 Keebler Chips Deluxe,70.08
Reduced-fat oatmeal raisin cookie,1 cookie,51.57
Reduced-fat Oreo,1 cookie,46
Reduced-fat snack cracker,1 round cracker (Ritz),11.76
Reduced-fat snack cracker,1 Snackwell's cracker,9.016
Reduced-fat Triscuit,1 cracker,15.795
Refried beans,.5 cup,182.16
Refrigerated biscuit (canned dough),1 biscuit,65.74
Refrigerated biscuit (canned dough),1 crescent roll,96.88
Refrigerated biscuit (canned dough),1 large biscuit,100.34
Refrigerated biscuit (canned dough),1 extra large (Pillsbury Grands!),190.3
Rice and beans,.5 cup,195.98
Rice Chex cereal,1 cup,124.41
Rice Krispies cereal,1 cup,93.6
Rice Krispies cereal,1 single serving box,90
Rice with tomato sauce,.5 cup,126.36
Ricotta cheese,.25 cup,95.94
Roast beef (eat lean & fat),1 medium slice,111.72
Roast beef (eat lean & fat),1 thick slice,167.58
Roast beef (eat lean & fat),1 thin slice,55.86
Roast beef (eat lean & fat),4 ounces after cooking,301.644
Roast beef (eat lean only),1 medium slice,82.74
Roast beef (eat lean only),1 thick slice,124.11
Roast beef (eat lean only),1 thin slice,41.37
Roast beef (eat lean only),4 ounces after cooking,223.398
Roast beef sandwich,1 sandwich,368.97
Roast pork (lean),1 medium slice,87.36
Roast pork (lean),1 thick slice,131.04
Roast pork (lean),1 thin slice,43.68
Roast pork (lean),"4 ounces, boneless",235.872
Roast pork tenderloin,4 ounces after cooking,195.048
Roasted chestnuts,1 ounce (3 chestnuts),69.4575
Roasted chestnuts,.25 cup,87.5875
Roasted Cornish game hen,1 breast,284.9
Roasted Cornish game hen,1 hen,792.54
Roasted duck,1 breast,255.36
Roasted duck,1 drumstick and thigh,184.8
Roasted duck,1 duck half,1283.52
Roasted potatoes,"1 medium (2 per pound, raw)",179.47
Roasted potatoes,.5 cup,83.57
Roasted potatoes,"1 large (13 ounces, raw)",310.99
Roasted potatoes,"1 small (6 ounces, raw)",143.85
Roasted potatoes,4 ounces raw,93.16
Roasted turkey (white & dark meat),1 medium slice,47.32
Roasted turkey (white & dark meat),1 thin slice,23.66
Roasted turkey (white & dark meat),4 ounces after cooking,189.28
Roasted turkey (white meat),1 medium slice,43.68
Roasted turkey (white meat),1 thin slice,21.84
Roasted turkey (white meat),4 ounces after cooking,174.72
Roasted veal,1 medium slice,96.6
Roasted veal,1 thick slice,144.9
Roasted veal,1 thin slice,48.3
Roasted veal,"4 ounces, boneless",260.82
Roasted venison,4 ounces after cooking,215.46
Romaine lettuce,1 medium leaf,2
Romaine lettuce,1 cup,7.6
Rum,1 jigger (jigger = 1.5 oz),97.02
Rum,2 fluid ounces,128.436
Rum & coke,1 cocktail,273.6
Rum & coke,8 fluid ounces (no ice),182.4
Rye bread,1 regular slice,67.34
Rye bread,1 large slice,82.88
Rye bread,1 snack-size slice,18.13
Rye bread,1 thin slice,51.8
Salisbury steak frozen meal,1 regular meal,461.76
Salisbury steak with gravy,1 steak with gravy,218.01
Salsa,.25 cup,17.36
Salsa,1 Tablespoon,4.48
Saltine cracker,1 square cracker,13.02
Saltine cracker,1 rectangle cracker,26.04
Sangria,1 drink (drink = 8 fl oz),164.16
Sangria,8 fluid ounces (no ice),167.04
Sauerkraut,.5 cup,13.49
Sausage biscuit,1 regular biscuit,437.92
Sausage biscuit,1 small biscuit,222.87
Sausage gravy,.5 cup,187.2
"Sausage, egg, and cheese croissant",1 croissant,539.01
Sauteed green peppers & onions,.5 cup,39.6
Scalloped potatoes,.5 cup,108.48
Scrambled egg (cooked with fat),1 large egg,93.62
Scrambled egg (cooked with fat),.5 cup,161.57
Scrambled egg (cooked without fat),1 large egg,78
Scrambled egg (cooked without fat),.5 cup,134.55
"Seafood salad (with tomatoes, dressing)",.5 cup,163.28
Seafood stuffed shells with tomato sauce,3 jumbo shells,306.27
Sesame seeds,1 Tablespoon,53
Sesame seeds,.25 cup,212.625
Sherbet,1 cup,277.92
Sherbet,1 push up,95.04
Shortbread cookie,1 small (Lorna Doone),35.14
Shortbread cookie,1 large,105.42
Shortbread cookie,"1 medium (2"" across)",75.3
Shortbread cookie,1 Girl Scout cookie,31.626
Shredded sweetened coconut,.25 cup shredded,110.205
Shredded sweetened coconut,.25 cup flaked,87.69
Shredded sweetened coconut,1 ounce,134.379
Shredded wheat cereal,1 cup spoon size biscuits,170
Shredded wheat cereal,1 rectangular biscuit,81.6
Shrimp fried rice,.5 cup,161.37
Shrimp lo mein,1 cup,236
Shrimp with pasta diet frozen meal,1 regular meal,290.16
Slurpee or snow cone,1 medium (16 fl oz),423.68
Slurpee or snow cone,1 cup,212.48
Slurpee or snow cone,1 large (22 fl oz),578.56
Slurpee or snow cone,1 small (10 fl oz),355.84
Smoked ham (lean),1 medium slice,65.94
Smoked ham (lean),1 thick slice,98.91
Smoked ham (lean),1 thin slice,32.97
Smoked ham (lean),"4 ounces, boneless",178.038
Smoked salmon (lox),1 slice or piece,23.4
Smoked salmon (lox),1 ounce,33.1695
Snack cracker,1 round cracker (Ritz),15.06
Snack cracker,.25 cup bite size crackers,66.515
Snack cracker,1 rectangular cracker,20.08
"Snack Mix (pretzel, nut, cereal mix)",.25 cup,47.475
Snickers candy bar,1 bar (2 oz),273.03
Snickers candy bar,1 king size bar (4 oz),541.27
Snickers candy bar,1 miniature bar (.3 oz),43.11
"Soft drink, diet",1 small (drink = 16 fl oz),4.73
"Soft drink, diet",1 medium (drink = 22 fl oz),6.5
"Soft drink, diet",1 large (drink = 32 fl oz),9.46
"Soft drink, diet",1 extra large (drink = 44 fl oz),13.01
"Soft drink, diet",1 can,3.55
"Soft drink, diet",1 bottle ( bottle = 16 fl oz),4.73
"Soft drink, regular",1 can,154.98
"Soft drink, regular",1 bottle ( bottle = 16 fl oz),206.64
"Soft drink, regular",1 small (drink = 16 fl oz),206.64
"Soft drink, regular",1 medium (drink = 22 fl oz),283.92
"Soft drink, regular",1 large (drink = 32 fl oz),413.28
"Soft drink, regular",1 extra large (drink = 44 fl oz),568.26
Soft pretzel,1 medium (4 oz),388.7
Soft pretzel,1 large ( 5 oz),483.34
Soft pretzel,1 small (2 oz),209.56
Soft serve ice cream,1 cup,347.73
Sorbet (made with fruit),.5 cup,82
Sour cream,1 individual container,64.2
Sour cream,2 Tablespoons,61.525
Sour cream dip,.25 cup,133.65
"Sour cream, low fat or light",2 Tablespoons,43.52
Sourdough bread,1 medium slice,68.5
Sourdough bread,1 large slice,95.9
Sourdough bread,1 small slice,41.1
Soy burger (no bun),1 patty,125.3
Soy nuts,.25 cup,109.5075
Soy sauce,1 Tablespoon,8.48
Soy sauce,1 packet,4.717
Soymilk,1 cup,98
Soymilk,8 fluid ounces,98
Spaghetti sauce (meatless),.5 cup,71.25
Spaghetti sauce (with meat),.5 cup,140.685
"Spaghetti sauce, fat-free (meatless)",.5 cup,51.25
Spaghetti with meat sauce,1 cup,349.68
Spaghetti with tomato sauce (meatless),1 cup,250.48
"Spaghetti, macaroni, or pasta (plain)","1 cup, cooked",196
"Spaghetti, macaroni, or pasta (plain)",1 jumbo shell,32.2
"Spaghetti, macaroni, or pasta (plain)",1 lasagne noodle,77
"Spaghetti, macaroni, or pasta (plain)","2 ounces dry, cooked yield",218.4
Spanish rice,.5 cup,105.705
Special K cereal,1 cup,117.49
Special K cereal,1 single serving box,79.59
Spinach lasagna (vegetarian),"1 piece (about 2-1/2"" x 4"")",279.21
Spinach lasagna (vegetarian),1 cup,307.5
Spinach quiche,"1 piece (1/8 of 9"" quiche)",341.77
Spinach quiche,1 individual quiche,270.07
Split pea soup with ham,1 cup,195
Split peas,.5 cup,114.66
Steak sandwich on roll,1 sandwich,343.64
Steak sauce (A-1),1 Tablespoon,9.76
Steak sauce (A-1),.25 cup,38.125
"Steamed clams (oysters, mussels)",.5 cup (1 cup=12 medium clams),69
"Steamed clams (oysters, mussels)","1 quart, in shell",172.04
Steamed crab (hard shell),1 medium blue crab,48.48
Steamed crab (hard shell),1 Pacific crab,114.13
Steamed crab (hard shell),1 king crab leg,120.19
Steamed crab (hard shell),1 snow crab,54.54
"Steamed dumpling, meat filled",1 dumpling,41.44
Steamed or boiled crayfish,".5 cup, cooked",56.7
Steamed or boiled crayfish,2 ounces after cooking,45.36
Steamed or boiled lobster,1 medium lobster tail,142.59
Steamed or boiled lobster,.5 medium lobster,143.075
Steamed or boiled lobster,4 ounces after cooking,109.998
Steamed or boiled shrimp,4 ounces after cooking,154.56
Steamed or boiled shrimp,".5 cup, cooked",100.05
Steamed or boiled shrimp,1 jumbo shrimp,13.80003
Steamed or boiled shrimp,10 medium shrimp,69
Steamed or boiled shrimp,10 small shrimp,55.2
Stew vegetables,.5 cup,57.75
Stewed tomatoes,.5 cup,33.15
Stick margarine,1 pat (1 teaspoon),35.25
Stick margarine,.25 stick,199.1625
Stick margarine,1 Tablespoon,100.11
"Stir-fried beef, veggies & noodles",1 cup,223.51
Stir-fried chicken & veggies on rice,1 cup,234.36
Stir-fried chicken and vegetables,.5 cup,89.91
"Stir-fried pork, vegetables & rice",1 cup,245.21
Stir-fried shrimp and vegetables,.5 cup,79.38
Strawberries (cooked or canned in syrup),.5 cup,116.84
Strawberries (raw),".5 cup, whole",23.04
Strawberries (raw),".5 cup, pureed",37.12
Strawberries (raw),".5 cup, sliced",26.56
Strawberries (raw),1 large,5.76
Strawberries (raw),1 medium,3.84
Strawberries (raw),1 small,2.24
Stuffed baked potato (with cheese),.5 potato (frozen),194.6
Stuffed baked potato (with cheese),.5 large potato,248.81
Stuffed baked potato (with cheese),.5 medium potato,143.865
Stuffed baked potato (with cheese),.5 small potato,114.675
Stuffed baked potato (with sour cream),.5 medium potato,158.12
Stuffed baked potato (with sour cream),.5 large potato,273.36
Stuffed baked potato (with sour cream),.5 small potato,125.96
Stuffed cabbage rolls (beef & rice),1 roll,117.42
"Stuffed mushrooms (bread, meat & cheese)",1 stuffed cap,67.44
"Stuffed mushrooms (bread, meat & cheese)",.5 cup,266.95
Stuffed pepper (with rice and meat),.5 pepper with filling,208.6
Sub roll,"1 medium (8"" long)",262.26
Sub roll,"1 large (12"" long)",376.65
Sub roll,"1 small (5-1/2"" long)",181.35
Succotash (lima beans and corn),.5 cup,88.32
Sugar cookie,"1 medium (2 5/8"" across)",76
Sugar cookie,"1 large (3 1/2-4"" across)",118.75
Sugar cookie,"1 small (2"" across)",42.75
Sugar-free Jello (diet),1 snack-size package (3.5 oz),3.96
Sugar-free Jello (diet),.5 cup,4.8
Sugar-free Jello with fruit (diet),.5 cup,39.6
Sugar-free popsicle (diet),1 single stick,16.72
Sugar-free popsicle (diet),1 double stick,24.32
Sunflower seeds,"1 ounce, hulled",161.595
Sunflower seeds,".25 cup, hulled",205.2
Sunflower seeds,.25 cup in hulls,65.55
Sweet & sour chicken,1 breast with sauce,356
Sweet & sour chicken,.5 cup,112.14
Sweet & sour chicken,1 thigh with sauce,222.5
Sweet & sour dressing,1 Tablespoon,2.34
Sweet & sour dressing,.25 cup,9.375
Sweet & sour pork,.5 cup,115.26
Sweet & sour pork on rice,1 cup,268.4
Sweet & sour soup,1 cup,73.2
Sweet and sour sauce (Vietnamese Sauce),2 Tablespoons,28.2
Sweet and sour sauce (Vietnamese Sauce),1 fast food container,31.02
Sweet cherries (raw),.5 cup cherries with pits,36.855
Sweet cherries (raw),.5 cup pitted cherries,45.675
Sweet cherries (raw),10 cherries,42.84
Sweet pickle (gherkin),5 slices,35.1
Sweet pickle (gherkin),1 gherkin,7.02
Sweetened condensed milk,.25 cup,245.565
Syrup (all types),1 Tablespoon,53
Syrup (all types),1 packet,156.35
Tabasco sauce (hot sauce),1 packet,1.86
Tabasco sauce (hot sauce),10 drops,0.16
Table wine (all),1 standard wine glass,113.575
Table wine (all),.5 carafe,189.42
Table wine (all),.5 bottle,284.9
Table wine (all),1 small wine glass,79.31
Taco or tostada shell,"1 medium (5"" across)",62.244
Taco or tostada shell,"1 large (6 1/2"" across)",98.28
Taco or tostada shell,"1 miniature (3"" across)",23.4
"Taco salad with beef, cheese, corn chips",1 salad (fast food order),366.56
"Taco salad with beef, cheese, corn chips",1 cup,192.76
Taffy,1 piece,37.318
Taffy,1 package (8 pieces),162.77
Tamale (with meat or chicken),1 tamale,133
Tangerine (raw),"1 medium (2-3/8"" across)",36.96
Tangerine (raw),".5 cup, sections",42.9
Tangerine (raw),1 clementine,33
Taquitoes,1 taquito,190.8
"Taro (cocoyam), boiled",".5 cup, pieces",106
Tartar sauce,1 Tablespoon,74.304
Tartar sauce,.25 cup,296.7
Tator tots,.5 cup,142.08
Tator tots,1 tater tot,17.538
Tea (sweetened),1 teacup (cup = 6 fl oz),52.5
Tea (sweetened),1 mug (mug = 8 fl oz),70
Tea (sweetened),12 fluid ounces,105
Tea (unsweetened),1 teacup (cup = 6 fl oz),1.78
Tea (unsweetened),1 mug (mug = 8 fl oz),2.37
Tea (unsweetened),12 fluid ounces,3.56
Teriyaki sauce,.25 cup,53.55
Teriyaki steak with sauce,.5 cup,226.92
Thousand island dressing,1 Tablespoon,57.72
Thousand island dressing,1 packet,162.8
Tofu,.25 cup,37.82
Tofu,1 cubic inch piece,10.736
Tofu and vegetables (Monk's food),.5 cup,83.66
"Tofu, firm",.25 cup,44.1
"Tofu, firm",.25 block (3 oz),56.7
Tofutti tofu frozen dessert,.5 cup,180.4
"Tomato cucumber salad, with oil & vinegar",.5 cup,92.22
Tomato juice,1 cup,41.31
Tomato sauce,.5 cup,39.2
Tomato soup (made with water),1 cup,85.4
Tonic water (quinine water),1 can,124.44
Tonic water (quinine water),1 cup,82.96
Tootsie roll,1 roll,139.3
Tootsie roll,1 midgee roll,25.87
Tootsie roll,1 large roll,254.72
"Tortilla chips (Doritos, Tostitos)",1 cup,160.32
"Tortilla chips (Doritos, Tostitos)",1 single srvg bag (bag = 1 oz),140.28
"Tortilla chips (Doritos, Tostitos)",1 grab-size bag (bag = 2.1 oz),300.6
"Tortilla chips (Doritos, Tostitos)",10 chips,150.3
Tortilla soup,1 cup,237.6
Tossed salad (lettuce and vegetables),1 cup,11.68
Total cereal,1 cup,106.92
Total cereal,1 single serving box,91.854
"Trail mix (nuts, seeds, dried fruit)",.25 cup,176.05
Trix cereal,1 cup,117.3
Trix cereal,1 single serving box,105.57
Tub margarine,1 teaspoon,33.55176
Tub spread (margarine type),1 teaspoon,25.05789
"Tuna egg salad (with celery, mayo)",.5 cup,203.84
Tuna noodle casserole,1 cup,423.36
"Tuna salad (with celery, mayo)",.5 cup,191.36
Turkey bacon,"1 medium slice, cooked",42.02
"Turkey breast lunch meat, fat free",1 ounce,23.52
"Turkey lunch meat, fat free",1 ounce,28.56
Turkey sausage,1 medium slice (slice=1 oz),58.52
Turkey with dressing frozen meal,1 regular meal,483.6
Twix cookie bars,1 regular package,289.42
Twix cookie bars,1 king size package,474.05
Twix cookie bars,1 fun size bar,79.84
Upside down cake (with fruit),"1 piece (1/12 of 8"" sq)",275.2
Upside down cake (with fruit),"1 piece (1/12 of 9"" cake)",387.2
V-8 juice (tomato-vegetable juice),1 cup,43.56
Vanilla or rum dessert sauce,.25 cup,95.04
Vanilla or rum dessert sauce,1 Tablespoon,23.76
Vanilla sandwich cookie,1 sandwich,53.13
Vanilla wafer,1 medium,17.64
"Veal cutlet or steak, fried",1 cutlet,139.37
"Veal cutlet or steak, fried",4 ounces after cooking,205.254
Vegemite,1 teaspoon,9.48
Vegetable beef soup (canned),1 cup,78
Vegetable beef soup (homemade),1 cup,228.95
Vegetable broth,1 cup,16.8
Vegetable combo (Asian style),.5 cup,23.495
"Vegetable oil (canola, corn, olive, etc)",1 Teaspoon,40
"Vegetable oil (canola, corn, olive, etc)",1 Tablespoon,120.224
"Vegetable oil (canola, corn, olive, etc)",.25 cup,481.78
"Vegetable pizza, thick crust",1 slice (1/8 med pizza),192.66
"Vegetable pizza, thick crust",.25 large pizza,602.0625
"Vegetable pizza, thick crust",.25 medium pizza,385.32
"Vegetable pizza, thick crust",.5 French bread pizza,216.125
"Vegetable pizza, thick crust",1 big slice (1/8 lg pizza),301.03125
"Vegetable pizza, thick crust","1 small pizza (8"" across)",681.72
"Vegetable pizza, thin crust",1 slice (1/8 med pizza),149.1
"Vegetable pizza, thin crust",.25 large pizza,465.405
"Vegetable pizza, thin crust",.25 medium pizza,298.2
"Vegetable pizza, thin crust",1 big slice (1/8 lg pizza),232.7025
"Vegetable pizza, thin crust","1 small pizza (8"" across)",451.56
Vegetable rice soup,1 cup,106.04
Vegetable shortening,1 teaspoon,37.34016
Vegetable shortening,.25 cup,453.05
Vegetable soup,1 cup,81.94
Vegetable tempura,1 piece,11.27
Vegetable tempura,.5 cup,50.715
Vegetable-pasta combo,.5 cup,52.745
Vegetable-pasta combo with cream sauce,.5 cup,84.24
Vegetable-pasta combo with cream sauce,1 frozen package,279.76
Vegetarian chili,.5 cup,135.89
Vegetarian meatloaf or patty,1 slice,110.32
Veggie burger (no bun),1 patty,127.09
Vienna sausage,1 sausage,44.64
Vienna sausage,1 can,315.27
Vinegar,1 Tablespoon,2.016
Vodka or tequila,1 jigger (jigger = 1.5 oz),97.02
Vodka or tequila,2 fluid ounces,128.436
Waffle,"1 round (4"" across)",102.96
Waffle,1 miniature waffle,22.176
Waffle,"1 large round (7"" across)",198
Waffle,"1 square (4"" square)",97.68
Waldorf salad (apple salad in dressing),.5 cup,121.245
Walnuts,1 ounce (14 halves),185.409
Walnuts,.25 cup,163.5
Water chestnut,.5 cup,39.5
Watermelon (raw),".5 cup, diced",22.8
Watermelon (raw),1 small wedge,21.3
Watermelon (raw),1 medium wedge,85.8
Watermelon (raw),1 large wedge,171.6
Wheat Bagel (part whole wheat),1 regular (4 oz),300.3
Wheat Bagel (part whole wheat),1 large (5 oz),374.66
Wheat Bagel (part whole wheat),1 miniature (1 oz),74.36
Wheat Bagel (part whole wheat),1 small (2 1/2 oz),197.34
Sour cream,2 Tbsp,61.525
"Wheat bran, unprocessed",.25 cup,31.32
Wheat cracker,4 Wheatsworth crackers,56
Wheat cracker,4 Whole Wheat Club Crackers,68
Wheat cracker,.25 cup,53.25
Wheat cracker,8 Wheat Thins,76
Wheat cracker,.5 ounce crackers,67
Wheat or cracked wheat bread,1 regular slice,65
Wheat or cracked wheat bread,1 large slice,78
Wheat or cracked wheat bread,1 thin slice,52
Wheat roll (part whole wheat),1 pan or dinner roll,82.04
Wheat roll (part whole wheat),1 submarine bun,275.42
Wheat roll (part whole wheat),1 hamburger or hot dog bun,125.99
Wheaties cereal,1 cup,106.5
Whipped butter,1 pat (1 teaspoon),27.246
Whipped butter,1 Tablespoon,67.398
"Whipped cream, sweetened",.25 cup,103.53
"Whiskey (bourbon, scotch, rye)",1 jigger (jigger = 1.5 oz),105
"Whiskey (bourbon, scotch, rye)",2 fluid ounces,140
White bread,1 regular slice,69.16
White bread,1 large slice,79.8
White bread,1 thin slice,53.2
White cake with icing,"1 piece, 2-layer cake",415.29
White cake with icing,"1 piece, 1-layer cake",251.46
White icing,1 Tablespoon,80.396
White icing,.25 cup,322.19
"White rice, no fat added",".5 cup, cooked",101.91
"White rice, with butter or oil",".5 cup, cooked",118.175
White roll,1 pan or dinner roll,78.12
White roll,1 hamburger or hot dog bun,119.97
White sauce (cream sauce),.25 cup,90.625
White sugar (granulated or lump),1 teaspoon,16.254
White sugar (granulated or lump),.25 cup,193.5
White sugar (granulated or lump),1 lump (2 cubes),19.35
White sugar (granulated or lump),1 individual packet,23.22
Whole milk,1 cup,146.4
Whole milk,8 fluid ounces,146.4
Whole wheat English muffin,1 muffin,117.74
Whole wheat pancakes,"2 medium (5"" across)",183.2
Whole wheat pancakes,"2 large (7"" across)",366.4
Whole wheat pancakes,"2 small (3"" across)",59.54
Whole wheat spaghetti or pasta (plain),"1 cup, cooked",172.2
Whole wheat tortilla,"1 medium (7"" across)",105.2
Whole wheat tortilla,"1 large (8"" across)",136.76
Whole wheat tortilla,"1 small  (6"" across)",71.01
"Wild rice, no fat added",".5 cup, cooked",65
Wine cooler,1 drink (drink = 7 fl oz),111.3
Wine cooler,8 fluid ounces (no ice),127.2
Won ton soup,1 cup,183.16
Worcestershire sauce,1 teaspoon,3.7587
"Wrap sandwich (meat, vegetables, rice)",1 wrap,818.37
Wrap sandwich (vegetables only),1 wrap,472.29
"Wrap sandwich (vegetables, rice)",1 wrap,674.68
Yellow cake with icing,"1 piece, 2-layer cake",400.03
Yellow cake with icing,"1 piece, 1-layer cake",242.22
Yellow corn (corn on the cob),1 medium ear,107
Yellow corn (corn on the cob),1 baby ear,8.56
Yellow corn (corn on the cob),1 small ear,92.02
Yellow corn (corn on the cob),.5 cup,87.74
Yellow corn (corn on the cob),1 large ear,121.98
Zucchini bread,1 slice (1.4 oz),149.6
Zucchini or summer squash,.5 cup,18
Whole milk,1/2  cup,73.2
Whole milk,2 Tablespoons,18.3
1% milk (low fat),1/2  cup,51.24
1% milk (low fat),2 Tablespoons,12.81
Fat free milk (skim),1/2  cup,41.65
Fat free milk (skim),2 Tablespoons,10.4125
"Soymilk, plain (calcium fortified)",1/2  cup,49
Light cream (coffee or table cream),2 Tbsp,58.5
Half & Half,2 Tbsp,39.26
Whipped cream (sweetened),1/4 cup,103.53
Coffee Mate creamer (liquid),2 Tbsp,40.8
Coffee Mate Lite creamer (liquid),2 Tbsp,20.7
"Cheese (cheddar, Swiss)",1 slice (1 oz),114.2505
Low fat cheddar or Swiss,1 slice (1 oz),50
Cream cheese (regular),1 Tbsp,50.605
Low fat cream cheese,1 Tbsp,34.65
Cheese spread or dip,2 Tablespoons,88.45
Chili con carne (with beans),1/4 cup,66.04
Chicken gravy,1/4 cup,47.005
Turkey gravy,1/4 cup,47.005
Beef gravy,1/4 cup,30.8725
Hummus,2 Tbsp,53.1
"White rice, no fat added",1/2  cup,101.91
"Brown rice, no fat added",1/2  cup,107.25
Fried rice (plain),1/2  cup,125.33
Lemon juice,1 Tbsp,3.8125
Applesauce (unsweetened),1/4 cup,26.23
Guacamole,1/4 cup,91.4525
Vinegar,1 Tbsp,2.016
Tomato (raw),1 slice,3.6
Ketchup (catsup),1 Tbsp,14.25
Salsa,1 Tbsp,4.48
Barbeque sauce,2 Tablespoons,23.4375
Steak sauce (A-1),1 Tbsp,9.76
Cocktail sauce,2 Tablespoons,27.3
Lettuce,1 leaf,0.8
Sauerkraut (no fat added),1/4 cup,6.745
Pickle relish,2 tsp,13
Mustard,1 tsp,3.3
Butter,1 tsp,35.85
Tub margraine,1 tsp,33.55176
Reduced calorie spread (margarine type),1 tsp,17.25
Tartar sauce,1 Tbsp,74.304
Horseradish sauce,1 Tbsp,29.26
Vegetable oil,1 tsp,40
Blue cheese dressing,1 Tbsp,77.112
French dressing,1 Tbsp,71.292
Italian dressing (oil and vinegar),1 Tbsp,42.777
Mayonnaise (regular),1 Tbsp,98.946
Miracle whip salad dressing,1 Tbsp,57.33
Creamy dressing (ranch),1 Tbsp,71.442
Low-calorie salad dressing,1 Tbsp,23.814
Fat-free mayonnaise-type dressing,1 Tbsp,13.44
Low calorie mayonnaise,1 Tbsp,36.192
White sugar (granulated or lump),1 tsp,16.254
Powdered sugar (confectioner's sugar),1 tsp,9.725
Brown sugar,1 tsp,17.342
Syrup (regular),1 Tbsp,53
Honey,1 Tbsp,63.84
Sweet and sour sauce,1 Tbsp,14.1
Jelly (all flavors),1 Tbsp,50.54
All-fruit preserves,1 Tbsp,36.6
